epoch,loss
0,122.0
1,3.43
2,3.25
3,3.21
4,3.19
5,3.04
6,3.0
7,2.91
8,2.94
9,2.69
10,2.51
11,2.33
12,2.26
13,2.05
14,1.91
15,1.83
16,1.77
17,1.63
18,1.51
19,1.39
20,1.24
21,1.21
22,1.19
23,1.12
24,1.08
25,1.05
26,0.991
27,0.994
28,0.958
29,0.898
30,0.926
31,0.821
32,0.843
33,0.805
34,0.784
35,0.723
36,0.738
37,0.705
38,0.722
39,0.686
40,0.643
